N        | Sparsity   | Structure    | Op         | Time (s)   | Mem (Bytes)
10000    | 1e-08      | BinTree      | Mult       | 0.000005   | -         
10000    | 1e-07      | Hash+Lista   | Create     | 0.000114   | 85105     
10000    | 1e-07      | Hash+Lista   | Sum        | 0.000392   | -         
10000    | 1e-07      | Hash+Lista   | Escalar    | 0.000194   | -         
10000    | 1e-07      | Hash+Lista   | Transp     | 0.000002   | -         
10000    | 1e-07      | Hash+Lista   | Mult       | 0.000420   | -         
10000    | 1e-07      | BinTree      | Create     | 0.000095   | 3758      
10000    | 1e-07      | BinTree      | Sum        | 0.000123   | -         
10000    | 1e-07      | BinTree      | Escalar    | 0.000010   | -         
10000    | 1e-07      | BinTree      | Transp     | 0.000002   | -         
10000    | 1e-07      | BinTree      | Mult       | 0.000020   | -         
10000    | 1e-06      | Hash+Lista   | Create     | 0.000553   | 122301    
10000    | 1e-06      | Hash+Lista   | Sum        | 0.000826   | -         
10000    | 1e-06      | Hash+Lista   | Escalar    | 0.000473   | -         
10000    | 1e-06      | Hash+Lista   | Transp     | 0.000002   | -         
10000    | 1e-06      | Hash+Lista   | Mult       | 0.000736   | -         
10000    | 1e-06      | BinTree      | Create     | 0.001484   | 30510     
10000    | 1e-06      | BinTree      | Sum        | 0.001961   | -         
10000    | 1e-06      | BinTree      | Escalar    | 0.000041   | -         
10000    | 1e-06      | BinTree      | Transp     | 0.000001   | -         
10000    | 1e-06      | BinTree      | Mult       | 0.000758   | -         
100000   | 1e-09      | Hash+Lista   | Create     | 0.000106   | 85105     
100000   | 1e-09      | Hash+Lista   | Sum        | 0.000391   | -         
100000   | 1e-09      | Hash+Lista   | Escalar    | 0.000193   | -         
100000   | 1e-09      | Hash+Lista   | Transp     | 0.000002   | -         
100000   | 1e-09      | Hash+Lista   | Mult       | 0.000418   | -         
100000   | 1e-09      | BinTree      | Create     | 0.000105   | 3758      
100000   | 1e-09      | BinTree      | Sum        | 0.000130   | -         
100000   | 1e-09      | BinTree      | Escalar    | 0.000008   | -         
100000   | 1e-09      | BinTree      | Transp     | 0.000001   | -         
100000   | 1e-09      | BinTree      | Mult       | 0.000020   | -         
100000   | 1e-08      | Hash+Lista   | Create     | 0.000472   | 122545    
100000   | 1e-08      | Hash+Lista   | Sum        | 0.001219   | -         
100000   | 1e-08      | Hash+Lista   | Escalar    | 0.000437   | -         
100000   | 1e-08      | Hash+Lista   | Transp     | 0.000003   | -         
100000   | 1e-08      | Hash+Lista   | Mult       | 0.000937   | -         
100000   | 1e-08      | BinTree      | Create     | 0.002533   | 30510     
100000   | 1e-08      | BinTree      | Sum        | 0.003626   | -         
100000   | 1e-08      | BinTree      | Escalar    | 0.000066   | -         
100000   | 1e-08      | BinTree      | Transp     | 0.000001   | -         
100000   | 1e-08      | BinTree      | Mult       | 0.001668   | -         
100000   | 1e-07      | Hash+Lista   | Create     | 0.003495   | 489901    
100000   | 1e-07      | Hash+Lista   | Sum        | 0.005904   | -         
100000   | 1e-07      | Hash+Lista   | Escalar    | 0.002700   | -         
100000   | 1e-07      | Hash+Lista   | Transp     | 0.000003   | -         
100000   | 1e-07      | Hash+Lista   | Mult       | 0.004932   | -         
100000   | 1e-07      | BinTree      | Create     | 0.027950   | 297022    
100000   | 1e-07      | BinTree      | Sum        | 0.036107   | -         
100000   | 1e-07      | BinTree      | Escalar    | 0.000396   | -         
100000   | 1e-07      | BinTree      | Transp     | 0.000001   | -         
100000   | 1e-07      | BinTree      | Mult       | 0.081553   | -         
